"TABLA 34: ""INSTITUCIONES EDUCATIVAS Y SUS CARRERAS""",,,,,Vigente a partir del 01/07/2014,,
Elaborada según el Clasificador de Instituciones de Educación Superior y Técnico Productivas (v1) y el Clasificador de Carreras de Educación Superior y Técnico productivas (v1) aprobados por el Instituto Nacional de Estadística e Informática - INEI.,,,,,,,
Abreviaturas,,,,,,,
IEST : Instituto de Educación Superior Técnologica.,,,,,,,
ISP : Instituto Superior Pedagógico.,,,,,,,
ESFA : Educación Superior de Formación Artística. ,,,,,,,
UNIV: Universidad.,,,,,,,
FFAA y Policía : Escuelas e Institutos de Educación Superior Tecnológicos de las Fuerzas Armadas y Policiales.,,,,,,,
COD. REGIMEN,DESC. REGIMEN,COD. TIPO INST.,DESC. TIPO INST.,COD.  INSTITUCIÓN,DESC. INSTITUCIÓN,COD.  CARRERA,DESC. CARRERA
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000001,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLOGICO NAVAL CITEN,524015,ELECTRICIDAD
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000001,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLOGICO NAVAL CITEN,525015,ELECTRÓNICA
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000001,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLOGICO NAVAL CITEN,714035,ENFERMERÍA TÉCNICA
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000001,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLOGICO NAVAL CITEN,011015,ARMAS SUBMARINAS
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000001,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLOGICO NAVAL CITEN,011025,ARTILLERÍA
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000001,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLOGICO NAVAL CITEN,011035,CAPITANÍA Y GUARDACOSTAS
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000001,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLOGICO NAVAL CITEN,413015,HIDROGRAFÍA Y NAVEGACIÓN
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000001,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLOGICO NAVAL CITEN,011065,INFANTERÍA DE MARINA
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000001,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLOGICO NAVAL CITEN,011075,INTELIGENCIA
1,PÚBLICA,8,ESCUELAS E INSTITUTOS DE EDUCACIÓN SUPERIOR TECNOLÓGICOS_x000D_ DE LAS FUERZAS ARMADAS Y POLICIALES,182000001,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLOGICO NAVAL CITEN,011085,MANIOBRAS
