"TABLA 31: ""PLIEGO PRESUPUESTAL""  - SOLO PARA EMPLEADORES DEL SÉCTOR PÚBLICO",,,,,,,
CÓDIGO,DESCRIPCIÓN,DESCRIPCIÓN ABREVIADA,,,,,
10537,U.N. DE HUANCAVELICA,U.N. DE HUANCAVELICA,,,,,
10538,U.N. AMAZONICA DE MADRE DE DIOS,U.N. AMAZONICA DE MADRE DE DIOS,,,,,
10539,U.N. MICAELA BASTIDAS DE APURIMAC,U.N. MICAELA BASTIDAS DE APURIMAC,,,,,
10540,ASAMBLEA NACIONAL DE RECTORES,ASAMBLEA NACIONAL DE RECTORES,,,,,
10541,U.N. TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,U.N. TORIBIO RODRIGUEZ DE M. AMAZONAS,,,,,
10542,U.N. INTERCULTURAL DE LA AMAZONIA,U.N. INTERCULTURAL DE LA AMAZONIA,,,,,
10543,U.N. TECNOLOGICA DE LIMA SUR,U.N. TECNOLOGICA DE LIMA SUR,,,,,
10544,U.N. JOSE MARIA ARGUEDAS,U.N. JOSE MARIA ARGUEDAS,,,,,
10545,U.N. DE MOQUEGUA,U.N. DE MOQUEGUA,,,,,
10546,U.N. DE JAEN,U.N. DE JAEN,,,,,
10547,U.N. DE CAÑETE,U.N. DE CAÑETE,,,,,
10548,U.N. DE FRONTERA,U.N. DE FRONTERA,,,,,
10549,U.N. DE BARRANCA,U.N. DE BARRANCA,,,,,
10550,U.N. AUTÓNOMA DE CHOTA,U.N. AUTÓNOMA DE CHOTA,,,,,
10551,U.N. INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA,U.N. INTERC DE LA SELVA CENT J. SANTOS ATAHUALPA,,,,,
10552,U.N. DE JULIACA,U.N. DE JULIACA,,,,,
10553,U.N. AUTÓNOMA ALTOANDINA DE TARMA,U.N. AUTÓNOMA ALTOANDINA DE TARMA,,,,,
10554,U.N. AUTÓNOMA DE HUANTA,U.N. AUTÓNOMA DE HUANTA,,,,,
10555,U.N. INTERCULTURAL FABIOLA SALAZAR LEGUIA DE BAGUA,U.N.I.F.S.L.,,,,,
10556,U.N. INTERCULTURAL DE QUILLABAMBA,U.N. INTERC. DE QUILLABAMBA,,,,,
10557,U.N. AUTÓNOMA DE ALTO AMAZONAS,U.N. AUT. DE ALTO AMAZONAS,,,,,
10558,U.N. AUTÓNOMA DE TAYACAJA DANIEL HERNÁNDEZ MORILLO,U.N. AUT. DE TAYACAJA D.H.M.,,,,,
10559,U.N. CIRO ALEGRÍA,U.N. CIRO ALEGRÍA,,,,,
10560,U.N. DIEGO QUISPE TITO,U.N. DIEGO QUISPE TITO,,,,,
10561,U.N. DE MÚSICA,U.N. DE MÚSICA,,,,,
10562,U.N. DANIEL ALOMÍA ROBLES,U.N. DANIEL ALOMÍA ROBLES,,,,,
10565,UNIVERSIDAD NACIONAL FRONTERIZA AUTÓNOMA DE YUNGUYO,U.N. FRONTERIZA AUTÓNOMA DE YUNGUYO,,,,,
10566,UNIVERSIDAD NACIONAL DE SECHURA,U.N. DE SECHURA,,,,,
10570,UNIVERSIDAD AUTÓNOMA DE CHUPACA,U.N. AUTÓNOMA DE CHUPACA,,,,,
10573,UNIVERSIDAD NACIONAL TECNOLÓGICA DE CHINCHA,U.N. TECNOLÓGICA DE CHINCHA,,,,,
11011,MINISTERIO DE SALUD,MINISTERIO DE SALUD,,,,,
11131,INSTITUTO NACIONAL DE SALUD,INSTITUTO NACIONAL DE SALUD,,,,,
11134,SUPERINTENDENCIA NACIONAL DE ASEGURAMIENTO EN SALUD,SUPERINT NACIONAL DE ASEGUR EN SALUD,,,,,
11135,SEGURO INTEGRAL DE SALUD,SEGURO INTEGRAL DE SALUD,,,,,
11136,INSTITUTO NACIONAL DE ENFERMEDADES NEOPLASICAS - INEN,INEN,,,,,
12012,MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO,MTPE,,,,,
12121,SUPERINTENDENCIA NACIONAL DE FISCALIZACIÓN LABORAL,SUNAFIL,,,,,
13013,MINISTERIO DE AGRICULTURA,MINISTERIO DE AGRICULTURA,,,,,
13018,SIERRA Y SELVA EXPORTADORA,SIERRA Y SELVA EXPORTADORA,,,,,
13160,SERVICIO NACIONAL DE SANIDAD AGRARIA - SENASA,SENASA,,,,,
13163,INSTITUTO NACIONAL DE INNOVACION AGRARIA,INSTITUTO NACIONAL DE INNOVACION AGRARIA,,,,,
13164,AUTORIDAD NACIONAL DEL AGUA - ANA,ANA,,,,,
13165,SERVICIO NACIONAL FORESTAL Y DE FAUNA SILVESTRE - SERFOR,SERFOR,,,,,
16016,MINISTERIO DE ENERGIA Y MINAS,MINISTERIO DE ENERGIA Y MINAS,,,,,
16220,INSTITUTO PERUANO DE ENERGIA NUCLEAR,INSTITUTO PERUANO DE ENERGIA NUCLEAR,,,,,
16221,INSTITUTO GEOLOGICO MINERO Y METALURGICO,INGEMMET,,,,,
19019,CONTRALORIA GENERAL,CONTRALORIA GENERAL,,,,,
20020,DEFENSORIA DEL PUEBLO,DEFENSORIA DEL PUEBLO,,,,,
21021,CONSEJO NACIONAL DE LA MAGISTRATURA,CONSEJO NACIONAL DE LA MAGISTRATURA,,,,,
22022,MINISTERIO PUBLICO,MINISTERIO PUBLICO,,,,,
24024,TRIBUNAL CONSTITUCIONAL,TRIBUNAL CONSTITUCIONAL,,,,,
26026,MINISTERIO DE DEFENSA,MINISTERIO DE DEFENSA,,,,,
26006,INSTITUTO NACIONAL DE DEFENSA CIVIL,INSTITUTO NACIONAL DE DEFENSA CIVIL,,,,,
26025,"CENTRO NACIONAL DE ESTIMACIÓN, PREVENCIÓN Y REDUCCION DE RIESGOS DE DESASTRES",CENEPRED,,,,,
26332,INSTITUTO GEOGRAFICO NACIONAL,INSTITUTO GEOGRAFICO NACIONAL,,,,,
26335,AGENCIA DE COMPRAS DE LAS FUERZAS ARMADAS,AGENCIA DE COMPRAS DE LAS FUERZAS ARMADAS,,,,,
27027,FUERO MILITAR POLICIAL,FUERO MILITAR POLICIAL,,,,,
28028,CONGRESO DE LA REPUBLICA,CONGRESO DE LA REPUBLICA,,,,,
31031,JURADO NACIONAL DE ELECCIONES,JURADO NACIONAL DE ELECCIONES,,,,,
32032,OFICINA NACIONAL DE PROCESOS ELECTORALES,ONPE,,,,,
33033,REGISTRO NACIONAL DE IDENTIFICACION Y ESTADO CIVIL,RENIEC,,,,,
35008,COMISION DE PROMOCION DEL PERU PARA LA EXPORTACION Y EL TURISMO - PROMPERU,PROMPERU,,,,,
35035,MINISTERIO DE COMERCIO EXTERIOR Y TURISMO,MINISTERIO DE COMERCIO EXTERIOR Y TURISMO,,,,,
35180,CENTRO DE FORMACION EN TURISMO,CENTRO DE FORMACION EN TURISMO,,,,,
36036,MINISTERIO DE TRANSPORTES Y COMUNICACIONES,MINISTERIO DE TRANSPORTES Y COMUNICACIONES,,,,,
36202,"SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCIAS - SUTRAN",SUTRAN,,,,,
36203,AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO - ATU,AUT.TRANSPORTE URBANO - LIMA Y CALLAO,,,,,
36214,AUTORIDAD PORTUARIA NACIONAL,AUTORIDAD PORTUARIA NACIONAL,,,,,
37037,"MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO","MINISTERIO DE VIVIENDA, CONSTR. Y SANEAMIENTO",,,,,
37056,SUPERINTENDENCIA NACIONAL DE BIENES ESTATALES,SUPERINTENDENCIA NAC DE BIENES ESTATALES,,,,,
37205,SERVICIO NACIONAL DE CAPACITACION PARA LA INDUSTRIA DE LA CONSTRUCCION,SENCICO,,,,,
37207,ORGANISMO TÉCNICO DE LA ADMINISTRACIÓN DE LOS SERVICIOS DE SANEAMIENTO,ORG.TEC.ADM. SERVICIOS DE SANEAMIENTO,,,,,
37211,ORGANISMO DE FORMALIZACION DE LA PROPIEDAD INFORMAL,COFOPRI,,,,,
38038,MINISTERIO DE LA PRODUCCION,MINISTERIO DE LA PRODUCCION,,,,,
38059,FONDO NACIONAL DE DESARROLLO PESQUERO - FONDEPES,FONDEPES,,,,,
38240,INSTITUTO DEL MAR DEL PERU - IMARPE,IMARPE,,,,,
38241,INSTITUTO TECNOLOGICO PESQUERO DEL PERU - ITP,ITP,,,,,
38243,ORGANISMO NACIONAL DE SANIDAD PESQUERA - SANIPES,SANIPES,,,,,
38244,INSTITUTO NACIONAL DE CALIDAD - INACAL,INACAL,,,,,
39039,MINISTERIO DE LA MUJER Y DESARROLLO SOCIAL,MINISTERIO DE LA MUJER Y DESARROLLO SOCIAL,,,,,
39345,CONSEJO NACIONAL PARA LA INTEGRACION DE LA PERSONA CON DISCAPACIDAD - CONADIS,CONADIS,,,,,
40040,MINISTERIO DE DESARROLLO E INCLUSION SOCIAL,MIDIS,,,,,
40041,ORGANISMO DE FOCALIZACION E INFORMACION SOCIAL,OFIS,,,,,
99440,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,GOBIERNO REGIONAL AMAZONAS,,,,,
99441,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,GOBIERNO REGIONAL ANCASH,,,,,
99442,GOBIERNO REGIONAL DEL DEPARTAMENTO DE APURIMAC,GOBIERNO REGIONAL APURIMAC,,,,,
99443,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,GOBIERNO REGIONAL AREQUIPA,,,,,
99444,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AYACUCHO,GOBIERNO REGIONAL AYACUCHO,,,,,
99445,GOBIERNO REGIONAL DEL DEPARTAMENTO DE CAJAMARCA,GOBIERNO REGIONAL CAJAMARCA,,,,,
99446,GOBIERNO REGIONAL DEL DEPARTAMENTO DE CUSCO,GOBIERNO REGIONAL CUSCO,,,,,
99447,GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANCAVELICA,GOBIERNO REGIONAL HUANCAVELICA,,,,,
99448,GOBIERNO REGIONAL DEL DEPARTAMENTO DE HUANUCO,GOBIERNO REGIONAL HUANUCO,,,,,
99449,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ICA,GOBIERNO REGIONAL  ICA,,,,,
99450,GOBIERNO REGIONAL DEL DEPARTAMENTO DE JUNIN,GOBIERNO REGIONAL  JUNIN,,,,,
99451,GOBIERNO REGIONAL DEL DEPARTAMENTO DE LA LIBERTAD,GOBIERNO REGIONAL LA LIBERTAD,,,,,
99452,GOBIERNO REGIONAL DEL DEPARTAMENTO DE LAMBAYEQUE,GOBIERNO REGIONAL LAMBAYEQUE,,,,,
99453,GOBIERNO REGIONAL DEL DEPARTAMENTO DE LORETO,GOBIERNO REGIONAL LORETO,,,,,
99454,GOBIERNO REGIONAL DEL DEPARTAMENTO DE MADRE DE DIOS,GOBIERNO REGIONAL MADRE DE DIOS,,,,,
99455,GOBIERNO REGIONAL DEL DEPARTAMENTO DE MOQUEGUA,GOBIERNO REGIONAL MOQUEGUA,,,,,
99456,GOBIERNO REGIONAL DEL DEPARTAMENTO DE PASCO,GOBIERNO REGIONAL PASCO,,,,,
99457,GOBIERNO REGIONAL DEL DEPARTAMENTO DE PIURA,GOBIERNO REGIONAL  PIURA,,,,,
99458,GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO,GOBIERNO REGIONAL PUNO,,,,,
99459,GOBIERNO REGIONAL DEL DEPARTAMENTO DE SAN MARTIN,GOBIERNO REGIONAL SAN MARTIN,,,,,
99460,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TACNA,GOBIERNO REGIONAL TACNA,,,,,
99461,GOBIERNO REGIONAL DEL DEPARTAMENTO DE TUMBES,GOBIERNO REGIONAL TUMBES,,,,,
99462,GOBIERNO REGIONAL DEL DEPARTAMENTO DE UCAYALI,GOBIERNO REGIONAL UCAYALI,,,,,
99463,GOBIERNO REGIONAL DEL DEPARTAMENTO DE LIMA,GOBIERNO REGIONAL LIMA,,,,,
99464,GOBIERNO REGIONAL DE LA PROVINCIA CONSTITUCIONAL DEL CALLAO,GOBIERNO REGIONAL DEL CALLAO,,,,,
99465,MUNICIPALIDAD METROPOLITANA DE LIMA,MUNICIPALIDAD METROPOLITANA DE LIMA,,,,,
"NOTA 1: Los códigos de pliegos presupuestales 1025, 10546, 10547, 10548, 10549, 10551, 10552, 30003 y 40040 fueron incorporados por la R.S. N.° 016-2012/SUNAT (Única Disposición Complementaria Modificatoria), disponiéndose su entrada en vigencia a partir del 15 de febrero de 2012.",,,,,,,
