"TABLA 22:  ""INGRESOS, TRIBUTOS Y DESCUENTOS""",,,,,,,,,,,,,,,,,,
CÓDIGO,"DESCRIPCIÓN DE LOS INGRESOS, TRIBUTOS Y DESCUENTOS",EMPLEADOR,,,,,,,,TRABAJADOR,,,,,PENSIONISTA,,,
612,SISTEMA NACIONAL DE PENSIONES - ASEGURA TU PENSIÓN,,,,,,,,,,,,,,,,,
613,RÉGIMEN PENSIONARIO - D.L. 20530,,,,,,,,,,,,,,,,,
614,RÉGIMEN PENSIONARIO DEL SERV. DIPLOMÁTICO,,,,,,,,,,,,,,,,,
615,RÉGIMEN DE PENSIONES MILITAR-POLICIAL,,,,,,,,,,,,,,,,,
616,APORTE MENSUAL AL FCJMMS  -  LEY 29741 (1),,,,,,,,,,,,,,,,,
617,CUOTA- FRACCIONAMIENTO- FONDO CJMMS - LEY 29741  (2),,,,,,,,,,,,,,,,,
618,RENTA CUARTA CATEGORÍA RETENCIONES –CAS,Incorporado en la V 2.4 del  PDT PLAME,,,,,,,,,,,,,,,,
619,SNP – TRABAJADOR INDEPENDIENTE - LEY 29903,Incorporado en la V  2.5 del  PDT PLAME,,,,,,,,,,,,,,,,
620,REP - TRAB. PESQUERO LEY 30003 – RETENCIÓN,Incorporado en la V  2.6 del  PDT PLAME,,,,,,,,,,,,,,,,
621,RENTA QUINTA CATEGORÍA REGUL EJERC ANTERIOR,Incorporado en la V  3.3 del  PDT PLAME,,,,,,,,,,,,,,,,
700,DESCUENTOS AL TRABAJADOR,,,,,,,,,,,,,,,,,
701,ADELANTO,,,,,,,,,,,,,,,,,
702,CUOTA SINDICAL,,,,,,,,,,,,,,,,,
703,DESCUENTO AUTORIZADO U ORDENADO POR MANDATO JUDICIAL,,,,,,,,,,,,,,,,,
704,TARDANZAS,,,,,,,,,,,,,,,,,
705,INASISTENCIAS,,,,,,,,,,,,,,,,,
706,OTROS DESCUENTOS NO DEDUCIBLES DE LA BASE IMPONIBLE ,,,,,,,,,,,,,,,,,
707,OTROS DESCUENTOS DEDUCIBLES DE LA BASE IMPONIBLE ,,,,,,,,,,,,,,,,,
800,APORTACIONES DE CARGO DEL EMPLEADOR,,,,,,,,,,,,,,,,,
801,SISTEMA PRIVADO DE PENSIONES - APORTACIÓN VOLUNTARIA,,,,,,,,,,,,,,,,,
802,FONDO DE DERECHOS SOCIALES DEL ARTISTA,,,,,,,,,,,,,,,,,
803,PÓLIZA DE SEGURO - D. LEG. 688,,,,,,,,,,,,,,,,,
804,"ESSALUD (SEGURO REGULAR, CBBSP, AGRARIO/ACUICULTOR) - TRABAJADOR",,,,,,,,,,,,,,,,,
805,PENSIONES – SEGURO COMPLEMENTARIO DE TRABAJO DE RIESGO,,,,,,,,,,,,,,,,,
806,ESSALUD – SEGURO COMPLEMENTARIO DE TRABAJO DE RIESGO,,,,,,,,,,,,,,,,,
807,SENATI,,,,., ,,,,,,,,,,,,
808,IMPUESTO EXTRAORDINARIO DE SOLIDARIDAD,,,,,,,,,,,,,,,,,
809,OTRAS APORTACIONES DE CARGO DEL EMPLEADOR,,,,,,,,,,,,,,,,,
810,EPS - SEGURO COMPLEMENTARIO DE TRABAJO DE RIESGO,,,,,,,,,,,,,,,,,
811,SEGURO INTEGRAL DE SALUD - SIS,,,,,,,,,,,,,,,,,
0812,REP – TRAB. PESQUERO LEY 30003 – EMPLEADOR,Incorporado en la V  2.6 del  PDT PLAME,,,,,,,,,,,,,,,,
0813,ONP - SEGURO COMPLEMENTARIO DE TRABAJO DE RIESGO,Incorporado en la V  3.0 del  PDT PLAME,,,,,,,,,,,,,,,,
0814,COMPAÑÍA SEGURO - SEGURO COMPLEMENTARIO DE TRABAJO DE RIESGO,Incorporado en la V  3.0 del  PDT PLAME,,,,,,,,,,,,,,,,
0815,ESSALUD +VIDA (3),Incorporado en la versión 4.1 del PDT PLAME Optimiz 1,,,,,,,,,,,,,,,,
0816,FCJTP,Incorporado en la Versión 4.5 del PDT PLAME,,,,,,,,,,,,,,,,
0817,Fondo de Capacitación de la Construcción (4),Incorporado en la Versión 4.6 del PDT PLAME,,,,,,,,,,,,,,,,
"(1) Modificado, a partir de la versión 1.92 del PDT 601 y 2.2 del PDT PLAME. Habilitado para la recaudación del aporte al FCJMMS.",,,,,,,,,,,,,,,,,,
"(2) Incorporado, a partir de la versión 1.93 del PDT 601 y 2.3 del PDT PLAME. Habilitado para la recaudación de cuotas del fraccionamiento de aportes devengados a abril de 2012, al FCJMMS.",,,,,,,,,,,,,,,,,,
