"TABLA 22:  ""INGRESOS, TRIBUTOS Y DESCUENTOS""",,,,,,,,,,,,,,,,,,
CÓDIGO,"DESCRIPCIÓN DE LOS INGRESOS, TRIBUTOS Y DESCUENTOS",EMPLEADOR,,,,,,,,TRABAJADOR,,,,,PENSIONISTA,,,
305,BONIFICACIONES POR TIEMPO DE SERVICIOS,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
306,BONIFICACIONES REGULARES,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
307,BONIFICACIONES CAFAE (3),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
308,COMPENSACIÓN POR TRABAJOS EN DÍAS DE DESCANSO Y EN FERIADOS,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
309,BONIFICACIÓN POR TURNO NOCTURNO 20% JORNAL BASICO,SI,NO,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
310,BONIFICACIÓN CONTACTO DIRECTO CON AGUA 20% JORNAL BÁSICO,SI,NO,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,NO,NO,,
311,BONIFICACION UNIFICADA DE CONSTRUCCIÓN,SI,NO,NO,SI,SI,NO,SI,NO,SI,SI,NO,NO,SI,NO,NO,,
312,BONIFICACIÓN EXTRAORDINARIA TEMPORAL – LEY 29351 Y 30334,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI,NO,NO,,
313,BONIFICACIÓN EXTRAORDINARIA PROPORCIONAL – LEY 29351 Y 30334,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI,NO,NO,,
314,BONIFICACIÓN ESPECIAL POR TRABAJO AGRARIO LEY 31110 – BETA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,,
400,INGRESOS: GRATIFICACIONES / AGUINALDOS,,,,,,,,,,,,,,,,,
401,GRATIFICACIONES DE FIESTAS PATRIAS Y NAVIDAD,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,,
402,OTRAS GRATIFICACIONES ORDINARIAS,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,,
403,GRATIFICACIONES EXTRAORDINARIAS,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI,NO,SI,,
404,AGUINALDOS DE JULIO Y DICIEMBRE,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,,
405,GRATIFICACIONES PROPORCIONAL,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,,
406,GRATIFICACIONES DE FIESTAS PATRIAS Y NAVIDAD – LEY 29351 Y 30334,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI,NO,NO,,
407,GRATIFICACIONES PROPORCIONAL – LEY 29351 Y 30334,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI,NO,NO,,
408,GRATIFIC FIESTAS PATRIAS Y NAVIDAD TRABAJ PESQ LEY 30334,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 3.0 del PDT PLAME,
409,GRATIFICACIONES PROPORCIONAL/TRUNCA TRABAJ PESQUEROS LEY 30334,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,Incorporado en la Versión 3.0 del PDT PLAME,
410,GRATIF FORMA PARTE REMUNER EXCEDE VALOR DE MERCADO (DIVIDENDO),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Incorporado en la Versión 3.6 del PDT PLAME,
411,GRATIF PAGADAS INTERNOS SALUD DU 090-2020 Y OTROS NO GRAVADOS ESSALUD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
500,INGRESOS: INDEMNIZACIONES,,,,,,,,,,,,,,,,,
501,INDEMNIZACIÓN POR DESPIDO INJUSTIFICADO U HOSTILIDAD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
502,INDEMNIZACIÓN POR MUERTE O INCAPACIDAD,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,
