"TABLA 30 ""OCUPACIÓN APLICABLE A LOS EMPLEADORES DEL SECTOR PRIVADO"".",,,,,,,,,,,,
"Dependiendo de la Categoría Ocupacional que se seleccione, se habilitarán los códigos de Ocupación.",,,,,,,,,,,,
(1) Código que puede ser asumido para la Categoría Ocupacional y (0) No se habilita el registro de esta Ocupación para la Categoría Ocupacional. ,,,,,,,,,,,,
Código,NOMBRE,Ejecutivo,Empleado,Obrero,,,,,,,,
214001,ESTRATIGRAFISTA,1,1,0,,,,,,,,
214002,GEODESIA,1,1,0,,,,,,,,
214003,GEOFISICO (INCLUYE INGENIEROS),1,1,0,,,,,,,,
214004,"GEOFISICO, GEOMORFOLOGIA",1,1,0,,,,,,,,
214005,"GEOFISICO, HIDROLOGIA",1,1,0,,,,,,,,
214006,"GEOFISICO, OCEANOGRAFIA",1,1,0,,,,,,,,
214007,"GEOFISICO, SISMOLOGIA",1,1,0,,,,,,,,
214008,"GEOFISICO, VULCANOLOGIA",1,1,0,,,,,,,,
214009,GEOLOGO (INCLUYE INGENIEROS),1,1,0,,,,,,,,
214010,"GEOLOGO, ESTRATIGRAFIA",1,1,0,,,,,,,,
214011,"GEOLOGO, MINAS",1,1,0,,,,,,,,
214012,"GEOLOGO, OCEANOGRAFIA",1,1,0,,,,,,,,
214013,"GEOLOGO, PALEONTOLOGIA",1,1,0,,,,,,,,
214014,"GEOLOGO, PETROLEO",1,1,0,,,,,,,,
214015,GEOMORFOLOGO,1,1,0,,,,,,,,
214016,HIDROLOGO,1,1,0,,,,,,,,
214017,MICROPALEONTOLOGO,1,1,0,,,,,,,,
214018,MINERALOGISTA,1,1,0,,,,,,,,
214019,"OCEANOGRAFO, GEOFISICA",1,1,0,,,,,,,,
214020,"OCEANOGRAFO, GEOLOGIA",1,1,0,,,,,,,,
214021,PALEONTOLOGO,1,1,0,,,,,,,,
214022,PETROLOGO,1,1,0,,,,,,,,
214023,SISMOLOGO,1,1,0,,,,,,,,
214024,VULCANOLOGO,1,1,0,,,,,,,,
215001,ACTUARIO,1,1,0,,,,,,,,
215002,"MATEMATICO, ANALISIS ACTUARIAL",1,1,0,,,,,,,,
215003,"MATEMATICO, MATEMATICA APLICADA",1,1,0,,,,,,,,
215004,"MATEMATICO, MATEMATICA PURA",1,1,0,,,,,,,,
215005,"MATEMATICO-ANALISTA, INVESTIGACION OPERATIVA",1,1,0,,,,,,,,
216001,BIOESTADISTICO,1,1,0,,,,,,,,
216002,BIOMETRISTA,1,1,0,,,,,,,,
216003,DEMOGRAFO,1,1,0,,,,,,,,
216004,ESTADISTICO,1,1,0,,,,,,,,
216005,"ESTADISTICO, AGRICULTURA",1,1,0,,,,,,,,
216006,"ESTADISTICO, BIOESTADISTICA",1,1,0,,,,,,,,
216007,"ESTADISTICO, BIOMETRIA",1,1,0,,,,,,,,
216008,"ESTADISTICO, ECONOMIA",1,1,0,,,,,,,,
216009,"ESTADISTICO, ENCUESTAS",1,1,0,,,,,,,,
216010,"ESTADISTICO, ENCUESTAS POR SONDEO",1,1,0,,,,,,,,
216011,"ESTADISTICO, ESTADISTICA APLICADA",1,1,0,,,,,,,,
216012,"ESTADISTICO, FINANZAS",1,1,0,,,,,,,,
216013,"ESTADISTICO, INVESTIGACION",1,1,0,,,,,,,,
216014,"ESTADISTICO, MATEMATICO",1,1,0,,,,,,,,
216015,"ESTADISTICO, MUESTRISTA",1,1,0,,,,,,,,
216016,"INGENIERO, ESTADISTICO",1,1,0,,,,,,,,
217001,"ADMINISTRADOR, BANCO DE DATOS",1,1,0,,,,,,,,
217002,"ANALISTA, SISTEMAS INFORMATICOS",1,1,0,,,,,,,,
